iter	RMSE
0	0.8774758376
1	0.8540468881
2	0.8331497507
3	0.8133221776
4	0.7945903449
5	0.7771910537
6	0.7608476134
7	0.7459808957
8	0.7319606873
9	0.7191783012
10	0.7072531512
11	0.6962136715
12	0.686067786
13	0.6767686979
14	0.6678682225
15	0.65975973
16	0.6519751801
17	0.6452729681
18	0.6389547643
19	0.6329106902
20	0.6271994086
21	0.6220861793
22	0.6173826562
23	0.6126350493
24	0.6083246121
25	0.604465118
26	0.6007270269
27	0.59706286
28	0.5937468558
29	0.5907146176
30	0.587884053
31	0.5853287369
32	0.5827555042
33	0.5804297303
34	0.578253584
35	0.5759777025
36	0.5741025278
37	0.5720510508
38	0.5698166605
39	0.5679366687
40	0.566393383
41	0.5646676934
42	0.5631785647
43	0.5619242415
44	0.5606086488
45	0.558997837
46	0.5578448995
47	0.5562817379
48	0.5551249786
49	0.5541826616
50	0.5531453427
51	0.5517565493
52	0.5508339561
53	0.5495524023
54	0.5482826937
55	0.547105392
56	0.5464343691
57	0.5454016852
58	0.544784966
59	0.5438971564
60	0.5432598258
61	0.5425330346
62	0.541563479
63	0.5409795376
64	0.5400810093
65	0.5392158628
66	0.5386861246
67	0.5373410248
68	0.5362925168
69	0.5354827206
70	0.5346016747
71	0.5339512796
72	0.5333153894
73	0.5328162162
74	0.5321027497
75	0.5313249605
76	0.5307890307
77	0.530060775
78	0.5295341779
79	0.5288671975
80	0.5284350015
81	0.5277261337
82	0.5269659733
83	0.5264539444
84	0.5258534512
85	0.5254105478
86	0.5248355318
87	0.524238313
88	0.5237640488
89	0.5233927858
90	0.523091507
91	0.5226085617
92	0.5223383383
93	0.5219463769
94	0.5215125854
95	0.5211978744
96	0.5209194933
97	0.5205295522
98	0.5199598545
99	0.5196064734
100	0.5191283629
101	0.5188771774
102	0.5186835899
103	0.5182977976
104	0.5179863235
105	0.5177498482
106	0.5175512496
107	0.5171011464
108	0.5166943899
109	0.51634076
110	0.515800688
111	0.5153759015
112	0.5149526732
113	0.5144818583
114	0.5141419526
115	0.5137092741
116	0.5132065175
117	0.5128073587
118	0.5125086689
119	0.5122263704
120	0.5117207704
121	0.5113239936
122	0.5111206841
123	0.5108209232
124	0.5106565766
125	0.5102238757
126	0.5099332015
127	0.5095714267
128	0.5092419095
129	0.5087757156
130	0.5083340843
131	0.5081217402
132	0.507988421
133	0.5076301707
134	0.5073498518
135	0.5072012449
136	0.5067562957
137	0.5064447598
138	0.506288856
139	0.5057365873
140	0.5055303902
141	0.505276471
142	0.5048668892
143	0.5045426842
144	0.5044174588
145	0.5040537737
146	0.5037998434
147	0.5036264249
148	0.5033580987
149	0.5031067278
150	0.5027788536
151	0.5025683097
152	0.5023846937
153	0.5019763411
154	0.5017560241
155	0.501523473
156	0.5012789045
157	0.5009551832
158	0.5006617396
159	0.4998997475
160	0.4996352497
161	0.499534232
162	0.49923585
163	0.4990505945
164	0.4986854711
165	0.498485061
166	0.4982125388
167	0.4979347264
168	0.4978242285
169	0.4976283213
170	0.4974845577
171	0.497319692
172	0.4971054359
173	0.4969262667
174	0.4967225101
175	0.4964920742
176	0.4961620214
177	0.4959718511
178	0.4956156477
179	0.4953279433
180	0.4951714306
181	0.4949367249
182	0.4947738986
183	0.4945420691
184	0.4943218269
185	0.4941187148
186	0.4937889656
187	0.4936780621
188	0.4933720382
189	0.4932195916
190	0.4927503623
191	0.4926316362
192	0.4923769568
193	0.4922949501
194	0.4921479663
195	0.4920025112
196	0.4918499035
197	0.4916061444
198	0.4914386937
199	0.4911845042
200	0.4909546089
201	0.4906557276
202	0.4905172929
203	0.490126053
204	0.4899929112
205	0.4898630072
206	0.4896195463
207	0.4894839757
208	0.4892827885
209	0.4891147328
210	0.488983776
211	0.4888739477
212	0.4887308097
213	0.4885627581
214	0.4884019642
215	0.4881382438
216	0.4878640457
217	0.4877303281
218	0.4875515388
219	0.4872404551
220	0.4871035534
221	0.4869178095
222	0.486772778
223	0.4865734531
224	0.4862661779
225	0.4861421986
226	0.4859677144
227	0.4858051466
228	0.4857117645
229	0.4855797127
230	0.4853824117
231	0.4851132082
232	0.4849685678
233	0.4847990644
234	0.4845811952
235	0.4844512398
236	0.484126361
237	0.4838488596
238	0.4836161932
239	0.4835031953
240	0.4833485547
241	0.4832292463
242	0.4830192026
243	0.4828029947
244	0.4825949117
245	0.4824931542
246	0.4823703237
247	0.4822389842
248	0.4820843045
249	0.4819454642
250	0.4817702192
251	0.4816619774
252	0.4814494789
253	0.4812526825
254	0.4811129305
255	0.4809565332
256	0.4807589823
257	0.4805844732
258	0.4803000705
259	0.4802201085
260	0.480006739
261	0.4798753228
262	0.4796853292
263	0.4795874721
264	0.4793442215
265	0.4792472956
266	0.4791540165
267	0.4790038212
268	0.4788869748
269	0.4787177702
270	0.4786153732
271	0.4783888362
272	0.4779850698
273	0.4778139672
274	0.4776950413
275	0.4775624011
276	0.4773348984
277	0.4772123123
278	0.4770939352
279	0.4769177097
280	0.4767273642
281	0.4765605274
282	0.4764375027
283	0.4763630887
284	0.4762437972
285	0.4760781799
286	0.4758583557
287	0.4757358898
288	0.475483946
289	0.4753901251
290	0.4753151086
291	0.4751152776
292	0.4750482877
293	0.4749256699
294	0.4748462954
295	0.4747435888
296	0.4746688017
297	0.4745521965
298	0.474385559
299	0.4741246913
