iter	Passed	Remaining
0	176	52641
1	192	28685
2	210	20859
3	226	16797
4	245	14464
5	258	12685
6	269	11295
7	278	10167
8	289	9348
9	296	8584
10	304	7987
11	310	7457
12	318	7021
13	327	6684
14	334	6359
15	341	6058
16	348	5808
17	355	5571
18	365	5405
19	372	5208
20	379	5042
21	386	4877
22	392	4726
23	404	4654
24	411	4530
25	418	4413
26	425	4297
27	432	4203
28	442	4131
29	450	4053
30	458	3976
31	465	3900
32	472	3823
33	483	3780
34	489	3709
35	497	3651
36	504	3584
37	511	3529
38	520	3483
39	528	3434
40	535	3381
41	544	3345
42	553	3306
43	563	3279
44	570	3234
45	579	3199
46	586	3156
47	593	3117
48	602	3086
49	610	3050
50	617	3014
51	625	2983
52	632	2949
53	641	2923
54	648	2890
55	655	2856
56	662	2824
57	669	2791
58	680	2780
59	688	2754
60	696	2729
61	703	2700
62	711	2676
63	720	2656
64	728	2632
65	734	2604
66	741	2576
67	747	2551
68	757	2536
69	764	2513
70	772	2492
71	779	2468
72	785	2442
73	796	2431
74	804	2412
75	812	2395
76	819	2372
77	828	2357
78	836	2341
79	844	2322
80	850	2300
81	858	2282
82	865	2263
83	875	2250
84	882	2231
85	889	2214
86	896	2194
87	903	2177
88	915	2169
89	923	2155
90	930	2138
91	940	2125
92	950	2115
93	961	2106
94	970	2093
95	977	2077
96	986	2065
97	994	2050
98	1002	2035
99	1009	2019
100	1020	2011
101	1026	1993
102	1032	1975
103	1040	1960
104	1059	1967
105	1065	1950
106	1072	1934
107	1079	1918
108	1087	1904
109	1093	1888
110	1104	1881
111	1111	1865
112	1118	1851
113	1125	1836
114	1132	1821
115	1141	1810
116	1148	1796
117	1155	1782
118	1161	1767
119	1169	1754
120	1178	1743
121	1186	1731
122	1192	1716
123	1199	1702
124	1206	1688
125	1212	1674
126	1222	1665
127	1229	1652
128	1239	1642
129	1245	1629
130	1252	1616
131	1261	1605
132	1268	1592
133	1275	1579
134	1282	1567
135	1289	1554
136	1299	1545
137	1305	1532
138	1311	1519
139	1318	1507
140	1325	1495
141	1336	1486
142	1342	1473
143	1349	1462
144	1356	1449
145	1364	1439
146	1371	1427
147	1382	1420
148	1389	1407
149	1399	1399
150	1406	1388
151	1414	1377
152	1421	1365
153	1428	1354
154	1436	1343
155	1445	1334
156	1452	1323
157	1460	1312
158	1468	1301
159	1474	1290
160	1484	1281
161	1490	1269
162	1498	1259
163	1506	1249
164	1523	1246
165	1607	1298
166	1622	1291
167	1636	1285
168	1649	1278
169	1667	1274
170	1681	1268
171	1693	1259
172	1711	1256
173	1726	1250
174	1733	1238
175	1743	1228
176	1749	1216
177	1756	1203
178	1762	1191
179	1769	1179
180	1779	1169
181	1786	1158
182	1793	1146
183	1800	1135
184	1809	1124
185	1816	1113
186	1824	1102
187	1830	1090
188	1837	1079
189	1844	1067
190	1850	1056
191	1861	1047
192	1867	1035
193	1875	1024
194	1882	1013
195	1889	1002
196	1897	992
197	1904	981
198	1911	970
199	1918	959
200	1925	948
201	1932	937
202	1942	928
203	1948	916
204	1955	906
205	1962	895
206	1968	884
207	1978	875
208	1985	864
209	1992	853
210	1998	842
211	2005	832
212	2015	823
213	2023	813
214	2030	802
215	2038	792
216	2044	782
217	2055	773
218	2061	762
219	2069	752
220	2075	741
221	2082	731
222	2090	721
223	2097	711
224	2104	701
225	2111	691
226	2119	681
227	2125	671
228	2135	662
229	2141	651
230	2149	642
231	2155	631
232	2163	622
233	2174	613
234	2182	603
235	2188	593
236	2195	583
237	2202	573
238	2212	564
239	2219	554
240	2225	544
241	2233	535
242	2239	525
243	2246	515
244	2255	506
245	2261	496
246	2268	486
247	2274	476
248	2282	467
249	2291	458
250	2298	448
251	2305	439
252	2315	430
253	2321	420
254	2331	411
255	2337	401
256	2345	392
257	2351	382
258	2357	373
259	2365	363
260	2373	354
261	2381	345
262	2389	336
263	2397	326
264	2403	317
265	2413	308
266	2419	298
267	2427	289
268	2433	280
269	2440	271
270	2451	262
271	2458	253
272	2465	243
273	2472	234
274	2480	225
275	2487	216
276	2495	207
277	2501	197
278	2508	188
279	2515	179
280	2523	170
281	2530	161
282	2536	152
283	2544	143
284	2550	134
285	2561	125
286	2567	116
287	2575	107
288	2584	98
289	2592	89
290	2600	80
291	2608	71
292	2614	62
293	2620	53
294	2629	44
295	2636	35
296	2643	26
297	2650	17
298	2658	8
299	2665	0
